2021-06-30 12:06:346 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 12:06:664 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
2021-06-30 12:06:93 INFO  BuildYourOwnComputerPage :42 - Getting build computer text[[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 12:06:280 INFO  BuildYourOwnComputerPage :48 - Select processor option [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //dd[@id='product_attribute_input_1']/select[@id='product_attribute_1']]
2021-06-30 12:06:431 INFO  BuildYourOwnComputerPage :53 - Select RAM option [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //dd[@id='product_attribute_input_2']/select[@id='product_attribute_2']]
2021-06-30 12:06:526 INFO  BuildYourOwnComputerPage :58 - Click on radio button [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 12:06:619 INFO  BuildYourOwnComputerPage :63 - Click on radio button [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 12:06:647 INFO  BuildYourOwnComputerPage :72 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 12:06:764 INFO  BuildYourOwnComputerPage :78 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-30 12:06:799 INFO  BuildYourOwnComputerPage :82 - Getting green bar message [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
